Kd_Prov;Provinsi;Total_Panjang;Mantap_km;Mantap_%;TMantap_km;TMantap_%
11;Aceh;1,781.72;1,363.93;76.55;417.79;23.45
12;Sumatera Utara;3,005.65;2,295.30;76.37;710.35;23.63
13;Sumatera Barat;1,525.20;1,138.82;74.67;386.38;25.33
14;Riau;2,799.81;1,763.17;62.97;1,036.64;37.03
15;Jambi;1,032.84;775.58;75.09;257.26;24.91
16;Sumatera Selatan;1,513.65;1,421.91;93.94;91.74;6.06
17;Bengkulu;1,562.67;908.71;58.15;653.96;41.85
18;Lampung;1,693.27;1,276.50;75.39;416.78;24.61
19;Kepulauan Bangka Belitung;850.99;805.39;94.64;45.60;5.36
21;Kepulauan Riau;896.45;722.70;80.62;173.75;19.38
32;Jawa Barat;2,360.58;2,095.37;88.77;265.21;11.23
33;Jawa Tengah;2,404.74;2,185.06;90.86;219.68;9.14
34;DI Yogyakarta;760.45;536.30;70.52;224.16;29.48
35;Jawa Timur;1,221.29;1,191.46;97.56;29.83;2.44
51;Bali;743.34;587.29;79.01;156.05;20.99
52;Nusa Tenggara Barat;1,484.43;1,215.27;81.87;269.16;18.13
53;Nusa Tenggara Timur;2,650.00;1,878.85;70.90;771.15;29.10
61;Kalimantan Barat;1,534.75;1,027.51;66.95;507.25;33.05
62;Kalimantan Tengah;1,272.08;1,110.95;87.33;161.11;12.67
63;Kalimantan Selatan;762.61;600.40;78.73;162.21;21.27
64;Kalimantan Timur;895.09;673.12;75.20;221.97;24.80
65;Kalimantan Utara;851.88;127.49;14.97;724.39;85.03
71;Sulawesi Utara;926.74;797.17;86.02;129.57;13.98
72;Sulawesi Tengah;1,643.74;1,024.01;62.30;619.73;37.70
73;Sulawesi Selatan;2,015.23;1,409.59;69.95;605.64;30.05
74;Sulawesi Tenggara;1,009.28;654.73;64.87;354.55;35.13
75;Gorontalo;467.17;267.59;57.28;199.58;42.72
76;Sulawesi Barat;185.96;74.33;39.97;111.64;60.03
81;Maluku;1,080.30;662.98;61.37;417.32;38.63
82;Maluku Utara;1,276.80;581.43;45.54;695.38;54.46
91;Papua Barat;2,309.65;1,524.72;66.02;784.93;33.98
94;Papua;2,361.76;1,035.01;43.82;1,326.75;56.18
xxx;Indonesia;46,880.12;33,732.64;71.96;13,147.47;28.04
